,Score,Bonus,Total score,ID
0,200,35,235,0
1,300,28,328,1
2,0,52,52,2
3,0,-47,-47,3
4,0,58,58,4
5,200,22,222,5
6,200,28,228,6
7,0,53,53,7
8,200,38,238,8
9,300,24,324,9
10,200,19,219,10
11,0,49,49,11
12,0,49,49,12
13,200,34,234,13
14,0,50,50,14
15,0,51,51,15
16,0,49,49,16
17,100,-20,80,17
18,0,51,51,18
19,0,54,54,19
20,200,37,237,20
21,0,58,58,21
22,0,55,55,22
23,100,47,147,23
24,0,47,47,24
25,0,56,56,25
26,0,55,55,26
27,0,49,49,27
28,200,34,234,28
29,200,53,253,29
30,200,9,209,30
31,200,9,209,31
32,200,52,252,32
33,0,55,55,33
34,200,53,253,34
35,0,57,57,35
36,100,50,150,36
37,200,40,240,37
38,0,55,55,38
39,0,55,55,39
40,0,58,58,40
41,0,55,55,41
42,0,56,56,42
43,200,51,251,43
44,0,59,59,44
45,300,42,342,45
46,0,42,42,46
47,0,58,58,47
48,0,57,57,48
49,0,59,59,49
50,0,58,58,50
51,0,58,58,51
52,0,58,58,52
53,200,51,251,53
54,200,51,251,54
55,0,57,57,55
56,300,44,344,56
57,300,44,344,57
58,300,39,339,58
59,0,53,53,59
60,200,52,252,60
61,200,54,254,61
62,200,43,243,62
63,200,50,250,63
64,200,38,238,64
65,200,22,222,65
66,200,44,244,66
67,200,46,246,67
68,0,56,56,68
69,200,10,210,69
