,Play Time,ID
0,24.3,0
1,31.045,1
2,7.069,2
3,107.918,3
4,1.359,4
5,37.162,5
6,31.829,6
7,6.556,7
8,21.242,8
9,35.652,9
10,40.004,10
11,10.128,11
12,10.766,12
13,25.259,13
14,9.264,14
15,8.577,15
16,10.958,16
17,80.619,17
18,8.375,18
19,5.14,19
20,22.949,20
21,1.059,21
22,4.585,22
23,12.254,23
24,12.06,24
25,3.691,25
26,4.786,26
27,10.593,27
28,25.595,28
29,6.6,29
30,50.83,30
31,50.83,31
32,7.869,32
33,4.454,33
34,6.756,34
35,2.981,35
36,9.387,36
37,19.396,37
38,4.055,38
39,4.073,39
40,1.967,40
41,4.23,41
42,3.727,42
43,8.918,43
44,0.811,44
45,17.883,45
46,17.773,46
47,1.162,47
48,2.67,48
49,0.708,49
50,1.984,50
51,1.715,51
52,1.059,52
53,8.167,53
54,8.167,54
55,2.262,55
56,15.059,56
57,15.059,57
58,20.62,58
59,6.142,59
60,7.157,60
61,5.803,61
62,16.216,62
63,9.875,63
64,21.008,64
65,37.263,65
66,15.609,66
67,13.298,67
68,3.934,68
69,49.411,69
